query	KEGG
NGEEOFDF_00002	K00872
NGEEOFDF_00003	K01733
NGEEOFDF_00004	0
NGEEOFDF_00005	K09861
NGEEOFDF_00006	K03310
NGEEOFDF_00007	K00616
NGEEOFDF_00008	K03831
NGEEOFDF_00009	K07034
NGEEOFDF_00010	0
NGEEOFDF_00011	0
NGEEOFDF_00012	K04043
NGEEOFDF_00013	K03686
NGEEOFDF_00014	K18919
NGEEOFDF_00015	K03313
NGEEOFDF_00016	K03717
NGEEOFDF_00017	0
NGEEOFDF_00018	0
NGEEOFDF_00019	K07347
NGEEOFDF_00020	0
NGEEOFDF_00021	0
NGEEOFDF_00022	0
NGEEOFDF_00023	K02968
NGEEOFDF_00024	K11753
NGEEOFDF_00025	K01870
NGEEOFDF_00026	K03101
NGEEOFDF_00027	K03774
NGEEOFDF_00028	K03527
NGEEOFDF_00029	K10213
NGEEOFDF_00030	K00215
NGEEOFDF_00031	K01956
NGEEOFDF_00032	K01955
NGEEOFDF_00034	K08277
NGEEOFDF_00035	K02617
NGEEOFDF_00036	K08299
NGEEOFDF_00037	K02182
NGEEOFDF_00038	K08298
NGEEOFDF_00039	K00249
NGEEOFDF_00040	K03451
NGEEOFDF_00041	K03521
NGEEOFDF_00042	K03522
NGEEOFDF_00043	K00313
NGEEOFDF_00044	K03855
NGEEOFDF_00045	K08368
NGEEOFDF_00046	K11746
NGEEOFDF_00047	K03455
NGEEOFDF_00048	K00287
NGEEOFDF_00049	K19164
NGEEOFDF_00050	K19163
NGEEOFDF_00051	K01525
NGEEOFDF_00052	K06195
NGEEOFDF_00053	K02528
NGEEOFDF_00054	K00097
NGEEOFDF_00055	K03771
NGEEOFDF_00056	K04744
NGEEOFDF_00057	K05801
NGEEOFDF_00058	0
NGEEOFDF_00059	K06177
NGEEOFDF_00060	K03580
NGEEOFDF_00061	K02336
NGEEOFDF_00062	K03077
NGEEOFDF_00063	K01804
NGEEOFDF_00064	K00853
NGEEOFDF_00065	K02099
NGEEOFDF_00066	0
NGEEOFDF_00067	K02062
NGEEOFDF_00068	K02063
NGEEOFDF_00069	K02064
NGEEOFDF_00070	0
NGEEOFDF_00072	K11925
NGEEOFDF_00073	K01704
NGEEOFDF_00074	K01703
NGEEOFDF_00075	K00052
NGEEOFDF_00076	K01649
NGEEOFDF_00077	K05798
NGEEOFDF_00078	K01652
NGEEOFDF_00079	K01653
NGEEOFDF_00080	K03435
NGEEOFDF_00081	K03925
NGEEOFDF_00082	K03438
NGEEOFDF_00083	K03586
NGEEOFDF_00084	K03587
NGEEOFDF_00085	K01928
NGEEOFDF_00086	K01929
NGEEOFDF_00087	K01000
NGEEOFDF_00088	K01925
NGEEOFDF_00089	K03588
NGEEOFDF_00090	K02563
NGEEOFDF_00091	K01924
NGEEOFDF_00092	K01921
NGEEOFDF_00093	K03589
NGEEOFDF_00094	K03590
NGEEOFDF_00095	K03531
NGEEOFDF_00096	K02535
NGEEOFDF_00097	K13301
NGEEOFDF_00098	K03070
NGEEOFDF_00099	K03574
NGEEOFDF_00100	K09862
NGEEOFDF_00101	K18778
NGEEOFDF_00102	K00859
NGEEOFDF_00103	K00088
NGEEOFDF_00104	K02505
NGEEOFDF_00105	K02454
NGEEOFDF_00106	K02650
NGEEOFDF_00107	K00767
NGEEOFDF_00108	K01447
NGEEOFDF_00109	K03807
NGEEOFDF_00110	K11732
NGEEOFDF_00111	K05799
NGEEOFDF_00112	K00163
NGEEOFDF_00113	K00627
NGEEOFDF_00114	K00382
NGEEOFDF_00115	0
NGEEOFDF_00116	K01682
NGEEOFDF_00117	K09910
NGEEOFDF_00118	K01611
NGEEOFDF_00119	K00797
NGEEOFDF_00120	0
NGEEOFDF_00121	K08100
NGEEOFDF_00122	K00117
NGEEOFDF_00123	K00760
NGEEOFDF_00124	K01673
NGEEOFDF_00125	K01990
NGEEOFDF_00126	K01992
NGEEOFDF_00127	0
NGEEOFDF_00128	0
NGEEOFDF_00129	K01579
NGEEOFDF_00130	0
NGEEOFDF_00131	K01918
NGEEOFDF_00132	K00606
NGEEOFDF_00133	0
NGEEOFDF_00134	0
NGEEOFDF_00135	0
NGEEOFDF_00136	0
NGEEOFDF_00137	K07347
NGEEOFDF_00138	K15540
NGEEOFDF_00139	0
NGEEOFDF_00140	K00950
NGEEOFDF_00141	K00970
NGEEOFDF_00142	K01894
NGEEOFDF_00143	K06204
NGEEOFDF_00144	K06206
NGEEOFDF_00145	K01975
NGEEOFDF_00146	K03579
NGEEOFDF_00147	K05365
NGEEOFDF_00148	K02014
NGEEOFDF_00149	K02013
NGEEOFDF_00150	K02016
NGEEOFDF_00151	K02015
NGEEOFDF_00152	K01845
NGEEOFDF_00153	K03281
NGEEOFDF_00154	K15724
NGEEOFDF_00155	0
