locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKJFLGDP_00001	CDS	834				hypothetical protein
JKJFLGDP_00002	CDS	225				hypothetical protein
JKJFLGDP_00003	CDS	180				hypothetical protein
JKJFLGDP_00004	CDS	180				hypothetical protein
JKJFLGDP_00005	CDS	468	argS_1	6.1.1.19	COG0018	Arginine--tRNA ligase
JKJFLGDP_00006	CDS	384	argS_2	6.1.1.19	COG0018	Arginine--tRNA ligase
JKJFLGDP_00007	CDS	177				hypothetical protein
JKJFLGDP_00008	CDS	294				hypothetical protein
JKJFLGDP_00009	CDS	327				hypothetical protein
JKJFLGDP_00010	CDS	312				hypothetical protein
JKJFLGDP_00011	CDS	204				hypothetical protein
JKJFLGDP_00012	CDS	771	czcD_1		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
JKJFLGDP_00013	CDS	129				hypothetical protein
JKJFLGDP_00014	CDS	1131				hypothetical protein
JKJFLGDP_00015	CDS	426				hypothetical protein
JKJFLGDP_00016	CDS	180				hypothetical protein
JKJFLGDP_00017	CDS	330	QRSL1_1	6.3.5.7		Glutamyl-tRNA(Gln) amidotransferase subunit A, chloroplastic/mitochondrial
JKJFLGDP_00018	CDS	453	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
JKJFLGDP_00019	CDS	465	QRSL1_2	6.3.5.7		Glutamyl-tRNA(Gln) amidotransferase subunit A, chloroplastic/mitochondrial
JKJFLGDP_00020	CDS	525	gatB_1	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
JKJFLGDP_00021	CDS	234	gatB_2	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
JKJFLGDP_00022	CDS	180				hypothetical protein
JKJFLGDP_00023	CDS	198				hypothetical protein
JKJFLGDP_00024	CDS	333				hypothetical protein
JKJFLGDP_00025	CDS	780	yadH_1		COG0842	Inner membrane transport permease YadH
JKJFLGDP_00026	CDS	345				hypothetical protein
JKJFLGDP_00027	CDS	177				hypothetical protein
JKJFLGDP_00028	CDS	297				hypothetical protein
JKJFLGDP_00029	CDS	225				hypothetical protein
JKJFLGDP_00030	CDS	453				hypothetical protein
JKJFLGDP_00031	CDS	780				hypothetical protein
JKJFLGDP_00032	CDS	588				Insertion sequence IS5376 putative ATP-binding protein
JKJFLGDP_00033	CDS	1605				IS1634 family transposase ISMth2
JKJFLGDP_00034	CDS	165				hypothetical protein
JKJFLGDP_00035	CDS	858				hypothetical protein
JKJFLGDP_00036	CDS	126				hypothetical protein
JKJFLGDP_00037	CDS	750				hypothetical protein
JKJFLGDP_00038	CDS	1461	ndhB_1	7.1.1.-	COG1007	NAD(P)H-quinone oxidoreductase subunit 2
JKJFLGDP_00039	CDS	1503	ndhD1_1	7.1.1.-	COG1008	NAD(P)H-quinone oxidoreductase chain 4 1
JKJFLGDP_00040	CDS	627				hypothetical protein
JKJFLGDP_00041	CDS	753	ndhB_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
JKJFLGDP_00042	CDS	261				hypothetical protein
JKJFLGDP_00043	CDS	279	nuoK_1	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
JKJFLGDP_00044	CDS	126				hypothetical protein
JKJFLGDP_00045	CDS	165				hypothetical protein
JKJFLGDP_00046	CDS	210				hypothetical protein
JKJFLGDP_00047	CDS	264				hypothetical protein
JKJFLGDP_00048	CDS	459	nuoH_1	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
JKJFLGDP_00049	CDS	528				hypothetical protein
JKJFLGDP_00050	CDS	174				hypothetical protein
JKJFLGDP_00051	CDS	477	rpoC_1	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
JKJFLGDP_00052	CDS	639				hypothetical protein
JKJFLGDP_00053	CDS	372				hypothetical protein
JKJFLGDP_00054	CDS	240				hypothetical protein
JKJFLGDP_00055	CDS	156				hypothetical protein
JKJFLGDP_00056	CDS	186				hypothetical protein
JKJFLGDP_00057	CDS	210				hypothetical protein
JKJFLGDP_00058	CDS	171				hypothetical protein
JKJFLGDP_00059	CDS	198				hypothetical protein
JKJFLGDP_00060	CDS	168				hypothetical protein
JKJFLGDP_00061	CDS	585	rpoB_1	2.7.7.6		DNA-directed RNA polymerase subunit beta
JKJFLGDP_00062	CDS	282				hypothetical protein
JKJFLGDP_00063	CDS	330				hypothetical protein
JKJFLGDP_00064	CDS	207				hypothetical protein
JKJFLGDP_00065	CDS	1008	dmlA_1	1.1.1.83	COG0473	D-malate dehydrogenase [decarboxylating]
JKJFLGDP_00066	CDS	180	hacB_1	4.2.1.33		Methanogen homoaconitase small subunit
JKJFLGDP_00067	CDS	471	hacB_2	4.2.1.33		Methanogen homoaconitase small subunit
JKJFLGDP_00068	CDS	165				hypothetical protein
JKJFLGDP_00069	CDS	612				hypothetical protein
JKJFLGDP_00070	CDS	552				hypothetical protein
JKJFLGDP_00071	CDS	432				hypothetical protein
JKJFLGDP_00072	CDS	534				hypothetical protein
JKJFLGDP_00073	tRNA	88				tRNA-Leu(cag)
JKJFLGDP_00074	CDS	966				IS66 family transposase ISArch14
JKJFLGDP_00075	CDS	237				IS66 family transposase ISArch14
JKJFLGDP_00076	CDS	1191	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
JKJFLGDP_00077	CDS	663	yccX_1	3.6.1.7		Acylphosphatase
JKJFLGDP_00078	CDS	315				hypothetical protein
JKJFLGDP_00079	CDS	513				hypothetical protein
JKJFLGDP_00080	CDS	528				hypothetical protein
JKJFLGDP_00081	CDS	720	yccX_2	3.6.1.7		Acylphosphatase
JKJFLGDP_00082	CDS	474				hypothetical protein
JKJFLGDP_00083	CDS	333				hypothetical protein
JKJFLGDP_00084	CDS	240				hypothetical protein
JKJFLGDP_00085	CDS	1158				ISNCY family transposase ISMac19
JKJFLGDP_00086	CDS	222				hypothetical protein
JKJFLGDP_00087	CDS	219				hypothetical protein
JKJFLGDP_00088	CDS	1077	wbpI_1	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
JKJFLGDP_00089	CDS	645	yccX_3	3.6.1.7		Acylphosphatase
JKJFLGDP_00090	CDS	681	wecB	5.1.3.14		UDP-N-acetylglucosamine 2-epimerase
JKJFLGDP_00091	CDS	204				hypothetical protein
JKJFLGDP_00092	CDS	159				hypothetical protein
JKJFLGDP_00093	CDS	240				hypothetical protein
JKJFLGDP_00094	CDS	438				hypothetical protein
JKJFLGDP_00095	CDS	375				hypothetical protein
JKJFLGDP_00096	CDS	183	wbpI_2	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
JKJFLGDP_00097	CDS	531	wbpI_3	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
JKJFLGDP_00098	CDS	183	acyP_1	3.6.1.7	COG1254	Acylphosphatase
JKJFLGDP_00099	CDS	390				hypothetical protein
JKJFLGDP_00100	CDS	312				hypothetical protein
JKJFLGDP_00101	CDS	105				hypothetical protein
JKJFLGDP_00102	CDS	324				hypothetical protein
JKJFLGDP_00103	CDS	282				hypothetical protein
JKJFLGDP_00104	CDS	195				hypothetical protein
JKJFLGDP_00105	CDS	252				hypothetical protein
JKJFLGDP_00106	CDS	216				hypothetical protein
JKJFLGDP_00107	CDS	321				hypothetical protein
JKJFLGDP_00108	CDS	114				hypothetical protein
JKJFLGDP_00109	CDS	222				hypothetical protein
JKJFLGDP_00110	CDS	456				hypothetical protein
JKJFLGDP_00111	CDS	726				hypothetical protein
JKJFLGDP_00112	CDS	528				hypothetical protein
JKJFLGDP_00113	CDS	1095				hypothetical protein
JKJFLGDP_00114	CDS	708				IS21 family transposase ISKol1
JKJFLGDP_00115	CDS	1035				hypothetical protein
JKJFLGDP_00116	CDS	639				hypothetical protein
JKJFLGDP_00117	CDS	297				hypothetical protein
JKJFLGDP_00118	CDS	147				hypothetical protein
JKJFLGDP_00119	CDS	564				ISNCY family transposase ISMac19
JKJFLGDP_00120	CDS	336				ISNCY family transposase ISMma11
JKJFLGDP_00121	CDS	564				ISNCY family transposase ISMac19
JKJFLGDP_00122	CDS	624				ISNCY family transposase ISMma11
JKJFLGDP_00123	CDS	651				IS256 family transposase ISMco5
JKJFLGDP_00124	CDS	834				IS66 family transposase ISArch15
JKJFLGDP_00125	CDS	333				hypothetical protein
JKJFLGDP_00126	CDS	198				hypothetical protein
JKJFLGDP_00127	CDS	180				hypothetical protein
JKJFLGDP_00128	CDS	216	copZ			Copper chaperone CopZ
JKJFLGDP_00129	CDS	1416	gatB_3	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
JKJFLGDP_00130	CDS	1419	gatA_2	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
JKJFLGDP_00131	CDS	282	gatC	6.3.5.-		Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
JKJFLGDP_00132	CDS	1341				hypothetical protein
JKJFLGDP_00133	CDS	936	czcD_2		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
JKJFLGDP_00134	CDS	279				hypothetical protein
JKJFLGDP_00135	CDS	696				hypothetical protein
JKJFLGDP_00136	CDS	1668	argS_3	6.1.1.19	COG0018	Arginine--tRNA ligase
JKJFLGDP_00137	CDS	1926				hypothetical protein
JKJFLGDP_00138	CDS	1233				hypothetical protein
JKJFLGDP_00139	CDS	1578	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
JKJFLGDP_00140	CDS	795	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
JKJFLGDP_00141	CDS	600	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
JKJFLGDP_00142	CDS	360				hypothetical protein
JKJFLGDP_00143	CDS	1560	uvrC		COG0322	UvrABC system protein C
JKJFLGDP_00144	tRNA	74				tRNA-Gly(ccc)
JKJFLGDP_00145	CDS	399				hypothetical protein
JKJFLGDP_00146	CDS	609	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
JKJFLGDP_00147	CDS	399				hypothetical protein
JKJFLGDP_00148	CDS	177				hypothetical protein
JKJFLGDP_00149	CDS	831				hypothetical protein
JKJFLGDP_00150	CDS	942				hypothetical protein
JKJFLGDP_00151	CDS	1128				hypothetical protein
JKJFLGDP_00152	CDS	2517	mgtA	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
