ANPAHHCN_00002	K02827
ANPAHHCN_00003	K02828
ANPAHHCN_00004	K02829
ANPAHHCN_00005	-
ANPAHHCN_00006	-
ANPAHHCN_00007	-
ANPAHHCN_00008	-
ANPAHHCN_00009	K13714
ANPAHHCN_00010	-
ANPAHHCN_00011	-
ANPAHHCN_00012	K00841
ANPAHHCN_00013	K01318
ANPAHHCN_00014	K13715
ANPAHHCN_00015	-
ANPAHHCN_00016	K01661
ANPAHHCN_00017	K08680
ANPAHHCN_00018	K02551
ANPAHHCN_00019	K02361
ANPAHHCN_00020	K02548
ANPAHHCN_00021	K06977
ANPAHHCN_00022	-
ANPAHHCN_00024	K02016
ANPAHHCN_00025	K15977
ANPAHHCN_00026	K00712
ANPAHHCN_00029	K02003
ANPAHHCN_00030	-
ANPAHHCN_00031	-
ANPAHHCN_00032	K07052
ANPAHHCN_00033	-
ANPAHHCN_00034	K03800
ANPAHHCN_00035	-
ANPAHHCN_00036	K02250
ANPAHHCN_00039	-
ANPAHHCN_00040	-
ANPAHHCN_00041	K04771
ANPAHHCN_00042	-
ANPAHHCN_00043	K02837
ANPAHHCN_00044	-
ANPAHHCN_00045	K01928
ANPAHHCN_00046	K03429
ANPAHHCN_00047	-
ANPAHHCN_00048	-
ANPAHHCN_00049	K07214
ANPAHHCN_00050	K03310
ANPAHHCN_00051	-
ANPAHHCN_00052	K00208
ANPAHHCN_00053	K03455
ANPAHHCN_00054	K06213
ANPAHHCN_00055	K06177
ANPAHHCN_00056	K00858
ANPAHHCN_00057	K07816
ANPAHHCN_00058	-
ANPAHHCN_00059	-
ANPAHHCN_00060	K06886
ANPAHHCN_00061	-
ANPAHHCN_00062	K08602
ANPAHHCN_00063	K06198
ANPAHHCN_00064	K16511
ANPAHHCN_00065	K16509
ANPAHHCN_00066	K01867
ANPAHHCN_00067	K02034
ANPAHHCN_00068	K02033
ANPAHHCN_00069	K02032
ANPAHHCN_00070	K02031
ANPAHHCN_00071	K02035
ANPAHHCN_00072	K02035
ANPAHHCN_00073	K10823
ANPAHHCN_00074	K02031
ANPAHHCN_00075	K15582
ANPAHHCN_00076	K15581
ANPAHHCN_00077	-
ANPAHHCN_00078	K09458
ANPAHHCN_00079	K00648
ANPAHHCN_00080	-
ANPAHHCN_00081	K14204
ANPAHHCN_00082	K06910
ANPAHHCN_00083	-
ANPAHHCN_00084	K07566
ANPAHHCN_00085	K01649
ANPAHHCN_00086	-
ANPAHHCN_00087	K03695
ANPAHHCN_00088	-
ANPAHHCN_00089	-
ANPAHHCN_00090	K21064
ANPAHHCN_00091	K08255
ANPAHHCN_00092	-
ANPAHHCN_00093	-
ANPAHHCN_00094	K16898
ANPAHHCN_00095	K16899
ANPAHHCN_00096	K03100
ANPAHHCN_00097	K03100
ANPAHHCN_00098	-
ANPAHHCN_00099	K01810
ANPAHHCN_00100	K01940
