AAJNHDNO_00002	K02338
AAJNHDNO_00003	K03629
AAJNHDNO_00004	K02470
AAJNHDNO_00005	K01153
AAJNHDNO_00006	K01154
AAJNHDNO_00007	K03427
AAJNHDNO_00008	K03427
AAJNHDNO_00009	0
AAJNHDNO_00010	0
AAJNHDNO_00012	0
AAJNHDNO_00013	K07497
AAJNHDNO_00015	K07497
AAJNHDNO_00016	K07132
AAJNHDNO_00017	0
AAJNHDNO_00019	0
AAJNHDNO_00020	0
AAJNHDNO_00021	0
AAJNHDNO_00022	0
AAJNHDNO_00023	0
AAJNHDNO_00024	0
AAJNHDNO_00025	K09946
AAJNHDNO_00027	K00655
AAJNHDNO_00028	K03273
AAJNHDNO_00029	0
AAJNHDNO_00030	K01879
AAJNHDNO_00031	K01878
AAJNHDNO_00032	K01246
AAJNHDNO_00033	K02517
AAJNHDNO_00034	0
AAJNHDNO_00035	K09125
AAJNHDNO_00037	0
AAJNHDNO_00038	K03499
AAJNHDNO_00039	K03500
AAJNHDNO_00040	K00604
AAJNHDNO_00041	K01462
AAJNHDNO_00042	0
AAJNHDNO_00043	K04096
AAJNHDNO_00044	K07566
AAJNHDNO_00045	K00344
AAJNHDNO_00046	K00228
AAJNHDNO_00047	K00014
AAJNHDNO_00048	0
AAJNHDNO_00049	0
AAJNHDNO_00050	0
AAJNHDNO_00051	K03321
AAJNHDNO_00052	K02002
AAJNHDNO_00053	K01133
AAJNHDNO_00054	0
AAJNHDNO_00055	K10253
AAJNHDNO_00056	K03407
AAJNHDNO_00057	K07690
AAJNHDNO_00058	K01695
AAJNHDNO_00059	K01696
AAJNHDNO_00060	0
AAJNHDNO_00061	K09165
AAJNHDNO_00062	0
AAJNHDNO_00063	K07326
AAJNHDNO_00064	K15125
AAJNHDNO_00065	K07491
AAJNHDNO_00066	K15125
AAJNHDNO_00067	K07491
AAJNHDNO_00068	K07491
AAJNHDNO_00069	K07491
AAJNHDNO_00071	0
AAJNHDNO_00072	K16636
AAJNHDNO_00073	0
AAJNHDNO_00074	0
AAJNHDNO_00075	0
AAJNHDNO_00076	K16868
AAJNHDNO_00077	0
AAJNHDNO_00080	K01953
AAJNHDNO_00081	0
AAJNHDNO_00082	0
AAJNHDNO_00083	K07341
AAJNHDNO_00084	K07559
AAJNHDNO_00085	K09983
AAJNHDNO_00086	0
AAJNHDNO_00087	0
AAJNHDNO_00088	K07396
AAJNHDNO_00089	K04063
AAJNHDNO_00090	0
AAJNHDNO_00091	0
AAJNHDNO_00092	0
AAJNHDNO_00093	0
AAJNHDNO_00094	0
AAJNHDNO_00095	K01091
AAJNHDNO_00096	0
AAJNHDNO_00097	K01414
AAJNHDNO_00098	K07070
AAJNHDNO_00099	0
AAJNHDNO_00100	0
AAJNHDNO_00101	0
AAJNHDNO_00102	K02004
AAJNHDNO_00103	K02003
AAJNHDNO_00104	K11912
AAJNHDNO_00105	K11915
AAJNHDNO_00106	K11890
AAJNHDNO_00107	K11891
AAJNHDNO_00108	K11892
AAJNHDNO_00109	K11893
AAJNHDNO_00110	K11906
AAJNHDNO_00111	K07169
AAJNHDNO_00112	K11902
AAJNHDNO_00113	K11901
AAJNHDNO_00114	K11900
AAJNHDNO_00115	K06887
