ANPAHHCN_00661	ccbfb65a6bc54f9c514a36e48a43dbe0	83	PANTHER	PTHR33884	UPF0410 PROTEIN YMGE	3	80	3.4E-15	T	30-01-2023	IPR007341	Transglycosylase-associated protein	GO:0016020
ANPAHHCN_00661	ccbfb65a6bc54f9c514a36e48a43dbe0	83	Pfam	PF04226	Transglycosylase associated protein	34	79	4.0E-13	T	30-01-2023	IPR007341	Transglycosylase-associated protein	GO:0016020
ANPAHHCN_02181	8dc59f46cc626a3765f496b4c4964214	195	Pfam	PF07187	Protein of unknown function (DUF1405)	27	184	1.1E-49	T	30-01-2023	IPR009845	Protein of unknown function DUF1405	-
ANPAHHCN_02181	8dc59f46cc626a3765f496b4c4964214	195	PANTHER	PTHR40042	HYPOTHETICAL MEMBRANE SPANNING PROTEIN	1	195	4.7E-78	T	30-01-2023	IPR009845	Protein of unknown function DUF1405	-
ANPAHHCN_02156	40cd04212cc1f6e4b6b39880dc296b84	296	MobiDBLite	mobidb-lite	consensus disorder prediction	1	38	-	T	30-01-2023	-	-
ANPAHHCN_02156	40cd04212cc1f6e4b6b39880dc296b84	296	Pfam	PF07901	Protein of unknown function (DUF1672)	26	295	2.4E-138	T	30-01-2023	IPR012873	Protein of unknown function DUF1672	-
ANPAHHCN_01033	cac2ea4a6f102fc4d5a2defb3729793b	220	PANTHER	PTHR32309	TYROSINE-PROTEIN KINASE	2	147	9.8E-36	T	30-01-2023	-	-
ANPAHHCN_01033	cac2ea4a6f102fc4d5a2defb3729793b	220	Pfam	PF02706	Chain length determinant protein	3	92	1.8E-23	T	30-01-2023	IPR003856	Polysaccharide chain length determinant N-terminal domain	GO:0009103|GO:0016020
ANPAHHCN_00916	b7277fa0cff2c046342f7b7bae1e7152	578	PANTHER	PTHR34384	L-2,3-DIAMINOPROPANOATE--CITRATE LIGASE	2	567	2.7E-141	T	30-01-2023	IPR037455	Aerobactin siderophore biosynthesis, IucA/IucC-like	GO:0019290
ANPAHHCN_00916	b7277fa0cff2c046342f7b7bae1e7152	578	Gene3D	G3DSA:6.10.250.3370	-	131	171	3.5E-7	T	30-01-2023	-	-
ANPAHHCN_00916	b7277fa0cff2c046342f7b7bae1e7152	578	Pfam	PF04183	IucA / IucC family	135	369	2.8E-48	T	30-01-2023	IPR007310	Aerobactin siderophore biosynthesis, IucA/IucC, N-terminal	GO:0019290
ANPAHHCN_00916	b7277fa0cff2c046342f7b7bae1e7152	578	Pfam	PF06276	Ferric iron reductase FhuF-like transporter	392	551	3.8E-25	T	30-01-2023	IPR022770	Aerobactin siderophore biosynthesis IucA/IucC-like, C-terminal	-
ANPAHHCN_00916	b7277fa0cff2c046342f7b7bae1e7152	578	Gene3D	G3DSA:1.10.510.40	-	360	555	7.3E-34	T	30-01-2023	-	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	ProSitePatterns	PS00278	Staphyloccocal enterotoxin/Streptococcal pyrogenic exotoxin signature 2.	154	177	-	T	30-01-2023	IPR006126	Staphylococcal enterotoxin/Streptococcal pyrogenic exotoxin, conserved site	GO:0005576
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	Gene3D	G3DSA:2.40.50.110	-	49	118	4.7E-71	T	30-01-2023	-	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	PRINTS	PR01898	Bacterial superantigen superfamily signature	79	105	4.7E-17	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	PRINTS	PR01898	Bacterial superantigen superfamily signature	154	167	4.7E-17	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	PRINTS	PR01898	Bacterial superantigen superfamily signature	167	181	4.7E-17	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	PRINTS	PR01898	Bacterial superantigen superfamily signature	108	121	4.7E-17	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	PRINTS	PR01898	Bacterial superantigen superfamily signature	208	224	4.7E-17	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	Pfam	PF09199	Staphylococcal superantigen-like OB-fold domain	41	119	1.9E-26	T	30-01-2023	IPR015282	Staphylococcal superantigen-like OB-fold domain	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	PRINTS	PR01501	Staphylococcal toxic shock syndrome toxin signature	187	203	7.3E-16	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	PRINTS	PR01501	Staphylococcal toxic shock syndrome toxin signature	162	184	7.3E-16	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	PRINTS	PR01501	Staphylococcal toxic shock syndrome toxin signature	16	34	7.3E-16	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	PRINTS	PR01501	Staphylococcal toxic shock syndrome toxin signature	213	225	7.3E-16	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	Gene3D	G3DSA:3.10.20.120	-	42	225	4.7E-71	T	30-01-2023	-	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	SUPERFAMILY	SSF50203	Bacterial enterotoxins	32	120	2.44E-27	T	30-01-2023	IPR008992	Enterotoxin	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	PRINTS	PR01800	Staphylococcus aureus exotoxin signature	193	208	6.5E-25	T	30-01-2023	IPR008375	Staphylococcus aureus exotoxin	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	PRINTS	PR01800	Staphylococcus aureus exotoxin signature	153	169	6.5E-25	T	30-01-2023	IPR008375	Staphylococcus aureus exotoxin	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	PRINTS	PR01800	Staphylococcus aureus exotoxin signature	18	32	6.5E-25	T	30-01-2023	IPR008375	Staphylococcus aureus exotoxin	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	PRINTS	PR01800	Staphylococcus aureus exotoxin signature	110	121	6.5E-25	T	30-01-2023	IPR008375	Staphylococcus aureus exotoxin	-
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	Pfam	PF02876	Staphylococcal/Streptococcal toxin, beta-grasp domain	147	190	6.7E-5	T	30-01-2023	IPR006123	Staphylococcal/Streptococcal toxin, beta-grasp domain	GO:0005576
ANPAHHCN_00627	139061d90c191439325aabea4c51247f	225	SUPERFAMILY	SSF54334	Superantigen toxins, C-terminal domain	126	225	7.59E-31	T	30-01-2023	IPR016091	Superantigen toxin, C-terminal	GO:0005576
ANPAHHCN_00762	7ea16a616c3e21b5d56450b0a91ffcc2	217	Pfam	PF16882	Domain of unknown function (DUF5079)	6	213	4.6E-77	T	30-01-2023	IPR031690	Protein of unknown function DUF5079	-
ANPAHHCN_02326	738392a4ebffbc30b64a3f09589cca50	96	Pfam	PF15542	Bacterial toxin 50	3	92	6.8E-17	T	30-01-2023	IPR029100	Bacterial toxin 50	-
ANPAHHCN_00185	9be8b15b0927803b752457a8e66a0c3c	80	Pfam	PF06194	Phage Conserved Open Reading Frame 51	1	80	3.3E-55	T	30-01-2023	IPR009338	Protein of unknown function  Orf51	-
ANPAHHCN_02540	47c7166bd1d9d06f2ab730081078bd09	339	Coils	Coil	Coil	267	300	-	T	30-01-2023	-	-
ANPAHHCN_02540	47c7166bd1d9d06f2ab730081078bd09	339	MobiDBLite	mobidb-lite	consensus disorder prediction	259	285	-	T	30-01-2023	-	-
ANPAHHCN_02540	47c7166bd1d9d06f2ab730081078bd09	339	MobiDBLite	mobidb-lite	consensus disorder prediction	197	252	-	T	30-01-2023	-	-
ANPAHHCN_02540	47c7166bd1d9d06f2ab730081078bd09	339	Pfam	PF13273	Protein of unknown function (DUF4064)	14	125	3.5E-16	T	30-01-2023	IPR025273	Domain of unknown function DUF4064	-
ANPAHHCN_02540	47c7166bd1d9d06f2ab730081078bd09	339	MobiDBLite	mobidb-lite	consensus disorder prediction	295	339	-	T	30-01-2023	-	-
ANPAHHCN_02540	47c7166bd1d9d06f2ab730081078bd09	339	MobiDBLite	mobidb-lite	consensus disorder prediction	197	339	-	T	30-01-2023	-	-
ANPAHHCN_00252	2f0b186684494296621efbd0eacd4338	107	Coils	Coil	Coil	3	23	-	T	30-01-2023	-	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	SUPERFAMILY	SSF50203	Bacterial enterotoxins	32	126	1.17E-29	T	30-01-2023	IPR008992	Enterotoxin	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	Pfam	PF09199	Staphylococcal superantigen-like OB-fold domain	41	124	5.4E-30	T	30-01-2023	IPR015282	Staphylococcal superantigen-like OB-fold domain	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	Gene3D	G3DSA:2.40.50.110	-	49	123	3.0E-67	T	30-01-2023	-	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	PRINTS	PR01800	Staphylococcus aureus exotoxin signature	18	32	1.6E-24	T	30-01-2023	IPR008375	Staphylococcus aureus exotoxin	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	PRINTS	PR01800	Staphylococcus aureus exotoxin signature	115	126	1.6E-24	T	30-01-2023	IPR008375	Staphylococcus aureus exotoxin	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	PRINTS	PR01800	Staphylococcus aureus exotoxin signature	196	211	1.6E-24	T	30-01-2023	IPR008375	Staphylococcus aureus exotoxin	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	PRINTS	PR01800	Staphylococcus aureus exotoxin signature	155	171	1.6E-24	T	30-01-2023	IPR008375	Staphylococcus aureus exotoxin	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	Gene3D	G3DSA:3.10.20.120	-	43	228	3.0E-67	T	30-01-2023	-	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	ProSitePatterns	PS00278	Staphyloccocal enterotoxin/Streptococcal pyrogenic exotoxin signature 2.	156	179	-	T	30-01-2023	IPR006126	Staphylococcal enterotoxin/Streptococcal pyrogenic exotoxin, conserved site	GO:0005576
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	PRINTS	PR01898	Bacterial superantigen superfamily signature	211	227	1.5E-11	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	PRINTS	PR01898	Bacterial superantigen superfamily signature	169	183	1.5E-11	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	PRINTS	PR01898	Bacterial superantigen superfamily signature	113	126	1.5E-11	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	PRINTS	PR01898	Bacterial superantigen superfamily signature	156	169	1.5E-11	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	SUPERFAMILY	SSF54334	Superantigen toxins, C-terminal domain	130	228	1.7E-24	T	30-01-2023	IPR016091	Superantigen toxin, C-terminal	GO:0005576
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	PRINTS	PR01501	Staphylococcal toxic shock syndrome toxin signature	164	186	1.5E-9	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	PRINTS	PR01501	Staphylococcal toxic shock syndrome toxin signature	33	50	1.5E-9	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	PRINTS	PR01501	Staphylococcal toxic shock syndrome toxin signature	190	206	1.5E-9	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	PRINTS	PR01501	Staphylococcal toxic shock syndrome toxin signature	113	133	1.5E-9	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00634	25d9cfe3c5ba51e6d9092fa78325c971	231	PRINTS	PR01501	Staphylococcal toxic shock syndrome toxin signature	216	229	1.5E-9	T	30-01-2023	IPR013307	Superantigen, staphylococcal/streptococcal toxin, bacterial	-
ANPAHHCN_00432	96cad2e052dbdfc06122353d524e4af7	158	PANTHER	PTHR43800	PEPTIDYL-LYSINE N-ACETYLTRANSFERASE YJAB	3	143	4.4E-9	T	30-01-2023	-	-
ANPAHHCN_00432	96cad2e052dbdfc06122353d524e4af7	158	SUPERFAMILY	SSF55729	Acyl-CoA N-acyltransferases (Nat)	1	146	6.08E-27	T	30-01-2023	IPR016181	Acyl-CoA N-acyltransferase	-
ANPAHHCN_00432	96cad2e052dbdfc06122353d524e4af7	158	CDD	cd04301	NAT_SF	58	117	5.81035E-7	T	30-01-2023	-	-
ANPAHHCN_00432	96cad2e052dbdfc06122353d524e4af7	158	Pfam	PF00583	Acetyltransferase (GNAT) family	38	134	9.0E-14	T	30-01-2023	IPR000182	GNAT domain	GO:0016747
ANPAHHCN_00432	96cad2e052dbdfc06122353d524e4af7	158	Gene3D	G3DSA:3.40.630.30	-	1	155	2.4E-33	T	30-01-2023	-	-
ANPAHHCN_00432	96cad2e052dbdfc06122353d524e4af7	158	ProSiteProfiles	PS51186	Gcn5-related N-acetyltransferase (GNAT) domain profile.	2	152	20.335276	T	30-01-2023	IPR000182	GNAT domain	GO:0016747
ANPAHHCN_01387	a5bb9c2eaf7f108d74c5ed556a0c128a	374	PANTHER	PTHR46496	-	1	347	1.2E-67	T	30-01-2023	-	-
ANPAHHCN_01387	a5bb9c2eaf7f108d74c5ed556a0c128a	374	Pfam	PF01494	FAD binding domain	2	330	1.7E-21	T	30-01-2023	IPR002938	FAD-binding domain	GO:0071949
ANPAHHCN_01387	a5bb9c2eaf7f108d74c5ed556a0c128a	374	Gene3D	G3DSA:3.50.50.60	-	2	361	5.4E-85	T	30-01-2023	IPR036188	FAD/NAD(P)-binding domain superfamily	-
ANPAHHCN_01387	a5bb9c2eaf7f108d74c5ed556a0c128a	374	SUPERFAMILY	SSF51905	FAD/NAD(P)-binding domain	1	357	2.51E-54	T	30-01-2023	IPR036188	FAD/NAD(P)-binding domain superfamily	-
ANPAHHCN_01387	a5bb9c2eaf7f108d74c5ed556a0c128a	374	PRINTS	PR00420	Aromatic-ring hydroxylase (flavoprotein monooxygenase) signature	140	155	5.1E-19	T	30-01-2023	-	-
ANPAHHCN_01387	a5bb9c2eaf7f108d74c5ed556a0c128a	374	PRINTS	PR00420	Aromatic-ring hydroxylase (flavoprotein monooxygenase) signature	269	284	5.1E-19	T	30-01-2023	-	-
ANPAHHCN_01387	a5bb9c2eaf7f108d74c5ed556a0c128a	374	PRINTS	PR00420	Aromatic-ring hydroxylase (flavoprotein monooxygenase) signature	284	300	5.1E-19	T	30-01-2023	-	-
ANPAHHCN_01387	a5bb9c2eaf7f108d74c5ed556a0c128a	374	PRINTS	PR00420	Aromatic-ring hydroxylase (flavoprotein monooxygenase) signature	2	24	5.1E-19	T	30-01-2023	-	-
ANPAHHCN_00616	c5bae81bc46b58257616ad4cf2b28c04	261	TIGRFAM	TIGR01742	SA_tandem_lipo: Staphylococcus tandem lipoproteins	1	257	5.0E-109	T	30-01-2023	IPR007595	Csa family	-
ANPAHHCN_00616	c5bae81bc46b58257616ad4cf2b28c04	261	Pfam	PF04507	Csa1 family	34	258	1.4E-114	T	30-01-2023	IPR007595	Csa family	-
ANPAHHCN_00616	c5bae81bc46b58257616ad4cf2b28c04	261	Gene3D	G3DSA:2.50.20.40	-	33	261	5.9E-103	T	30-01-2023	IPR038641	Csa superfamily	-
ANPAHHCN_00616	c5bae81bc46b58257616ad4cf2b28c04	261	ProSiteProfiles	PS51257	Prokaryotic membrane lipoprotein lipid attachment site profile.	1	23	7.0	T	30-01-2023	-	-
ANPAHHCN_02081	33408f0715b4efeb566596aededf14bb	179	ProSiteProfiles	PS51371	CBS domain profile.	117	179	9.807869	T	30-01-2023	IPR000644	CBS domain	-
ANPAHHCN_02081	33408f0715b4efeb566596aededf14bb	179	CDD	cd04617	CBS_pair_CcpN	51	174	1.36949E-63	T	30-01-2023	-	-
ANPAHHCN_02081	33408f0715b4efeb566596aededf14bb	179	Pfam	PF00571	CBS domain	117	174	6.9E-5	T	30-01-2023	IPR000644	CBS domain	-
ANPAHHCN_02081	33408f0715b4efeb566596aededf14bb	179	Pfam	PF00571	CBS domain	49	102	1.2E-7	T	30-01-2023	IPR000644	CBS domain	-
ANPAHHCN_02081	33408f0715b4efeb566596aededf14bb	179	Gene3D	G3DSA:3.10.580.10	-	31	179	1.4E-49	T	30-01-2023	IPR046342	CBS domain superfamily	-
ANPAHHCN_02081	33408f0715b4efeb566596aededf14bb	179	ProSiteProfiles	PS51371	CBS domain profile.	52	108	10.550028	T	30-01-2023	IPR000644	CBS domain	-
ANPAHHCN_02081	33408f0715b4efeb566596aededf14bb	179	SUPERFAMILY	SSF54631	CBS-domain pair	43	174	8.34E-21	T	30-01-2023	IPR046342	CBS domain superfamily	-
ANPAHHCN_02081	33408f0715b4efeb566596aededf14bb	179	PANTHER	PTHR48108	CBS DOMAIN-CONTAINING PROTEIN CBSX2, CHLOROPLASTIC	41	170	2.6E-12	T	30-01-2023	-	-
ANPAHHCN_02081	33408f0715b4efeb566596aededf14bb	179	SMART	SM00116	cbs_1	122	174	1.2	T	30-01-2023	IPR000644	CBS domain	-
ANPAHHCN_02081	33408f0715b4efeb566596aededf14bb	179	SMART	SM00116	cbs_1	55	103	0.24	T	30-01-2023	IPR000644	CBS domain	-
ANPAHHCN_02081	33408f0715b4efeb566596aededf14bb	179	PIRSF	PIRSF026546	UCP_CBS_YqzB	1	179	2.0E-86	T	30-01-2023	IPR016842	Protein of unknown function UCP026546, HtH-CBS	-
ANPAHHCN_01226	59168abf3a51da2ca24589628826e219	433	Pfam	PF10100	Staphylopine dehydrogenase	3	424	3.1E-174	T	30-01-2023	IPR016935	Opine metallophore dehydrogenase	-
ANPAHHCN_01226	59168abf3a51da2ca24589628826e219	433	Gene3D	G3DSA:3.40.50.720	-	2	205	2.3E-9	T	30-01-2023	-	-
ANPAHHCN_01226	59168abf3a51da2ca24589628826e219	433	PIRSF	PIRSF029692	UCP029692	1	430	3.2E-216	T	30-01-2023	IPR016935	Opine metallophore dehydrogenase	-
ANPAHHCN_02130	8152799ad565bcd60b500b5228e69759	326	Pfam	PF11728	Putative aromatic acid exporter C-terminal domain	151	314	3.4E-41	T	30-01-2023	IPR021062	Putative aromatic acid exporter, C-terminal	-
ANPAHHCN_02130	8152799ad565bcd60b500b5228e69759	326	Gene3D	G3DSA:1.20.120.940	-	146	316	4.2E-38	T	30-01-2023	IPR038323	Putative aromatic acid exporter, C-terminal domain superfamily	-
ANPAHHCN_02130	8152799ad565bcd60b500b5228e69759	326	PANTHER	PTHR40064	MEMBRANE PROTEIN-RELATED	7	325	1.1E-134	T	30-01-2023	-	-
ANPAHHCN_02130	8152799ad565bcd60b500b5228e69759	326	Pfam	PF06081	Aromatic acid exporter family member 1	8	147	9.4E-43	T	30-01-2023	IPR010343	Aromatic acid exporter family member 1	-
ANPAHHCN_01715	f15cd571281b10444fc10e879bb4dd2c	399	MobiDBLite	mobidb-lite	consensus disorder prediction	126	142	-	T	30-01-2023	-	-
ANPAHHCN_01715	f15cd571281b10444fc10e879bb4dd2c	399	Pfam	PF07537	CamS sex pheromone cAM373 precursor	60	391	1.4E-110	T	30-01-2023	IPR011426	CamS sex pheromone cAM373	-
ANPAHHCN_01715	f15cd571281b10444fc10e879bb4dd2c	399	CDD	cd13441	CamS_repeat_1	56	278	4.43685E-81	T	30-01-2023	-	-
ANPAHHCN_01715	f15cd571281b10444fc10e879bb4dd2c	399	CDD	cd13440	CamS_repeat_2	282	396	5.33794E-40	T	30-01-2023	-	-
ANPAHHCN_01715	f15cd571281b10444fc10e879bb4dd2c	399	PIRSF	PIRSF012509	CamS	1	398	2.5E-146	T	30-01-2023	IPR011426	CamS sex pheromone cAM373	-
ANPAHHCN_01715	f15cd571281b10444fc10e879bb4dd2c	399	ProSiteProfiles	PS51257	Prokaryotic membrane lipoprotein lipid attachment site profile.	1	18	6.0	T	30-01-2023	-	-
ANPAHHCN_01715	f15cd571281b10444fc10e879bb4dd2c	399	Gene3D	G3DSA:3.10.570.10	-	56	399	4.2E-138	T	30-01-2023	-	-
ANPAHHCN_01715	f15cd571281b10444fc10e879bb4dd2c	399	MobiDBLite	mobidb-lite	consensus disorder prediction	126	157	-	T	30-01-2023	-	-
ANPAHHCN_00139	bd5563d9d9017c15329190b0a57b7442	282	SUPERFAMILY	SSF117396	TM1631-like	1	269	2.35E-80	T	30-01-2023	IPR036520	UPF0759 superfamily	-
ANPAHHCN_00139	bd5563d9d9017c15329190b0a57b7442	282	PANTHER	PTHR30348	UNCHARACTERIZED PROTEIN YECE	2	278	2.6E-67	T	30-01-2023	IPR002763	Protein of unknown function DUF72	-
ANPAHHCN_00139	bd5563d9d9017c15329190b0a57b7442	282	Pfam	PF01904	Protein of unknown function DUF72	21	264	8.0E-59	T	30-01-2023	IPR002763	Protein of unknown function DUF72	-
ANPAHHCN_00139	bd5563d9d9017c15329190b0a57b7442	282	Gene3D	G3DSA:3.20.20.410	Protein of unknown function UPF0759	1	282	8.3E-84	T	30-01-2023	IPR036520	UPF0759 superfamily	-
ANPAHHCN_00936	a622abd8b66a32f72905362edb2ff826	255	ProSiteProfiles	PS51257	Prokaryotic membrane lipoprotein lipid attachment site profile.	1	24	7.0	T	30-01-2023	-	-
ANPAHHCN_00936	a622abd8b66a32f72905362edb2ff826	255	TIGRFAM	TIGR01742	SA_tandem_lipo: Staphylococcus tandem lipoproteins	1	251	7.2E-128	T	30-01-2023	IPR007595	Csa family	-
ANPAHHCN_00936	a622abd8b66a32f72905362edb2ff826	255	Pfam	PF04507	Csa1 family	28	252	5.3E-116	T	30-01-2023	IPR007595	Csa family	-
ANPAHHCN_00936	a622abd8b66a32f72905362edb2ff826	255	Gene3D	G3DSA:2.50.20.40	-	27	255	1.1E-105	T	30-01-2023	IPR038641	Csa superfamily	-
ANPAHHCN_00892	6f7be37853ecc2f277f09e9ba5a1b16f	514	MobiDBLite	mobidb-lite	consensus disorder prediction	291	312	-	T	30-01-2023	-	-
